MOUID,KoreanName,CareerStringID,CareerString,CareerStartYear,CareerStartMonth,EventType,JointAppointment,Org1,Org2,Org3,Org4,Org5,Position,OrgLevel,PositionLevel,OrgPositionString
104,장성길,50,"1981.  2군단 부군단장, 인민군 대좌",1981,NULL,1,Joint,"인민군 총참모부",2군단,NA,NA,NA,부군단장,2,2,"인민군 총참모부_2군단_NA_NA_부군단장"
104,장성길,51,"1982.  13사단 사단장",1982,NULL,1,NULL,"인민군 총참모부",1군단,13사단,NA,NA,사단장,3,1,"인민군 총참모부_1군단_13사단_NA_사단장"
104,장성길,52,"1982.  2군단 부군단장, 인민군 대좌",1982,NULL,1,Joint,"인민군 총참모부",2군단,NA,NA,NA,부군단장,2,2,"인민군 총참모부_2군단_NA_NA_부군단장"
104,장성길,53,"1985.  5군단 32사단장, 인민군 소장",1985,NULL,1,Joint,"인민군 총참모부",5군단,32사단,NA,NA,사단장,3,1,"인민군 총참모부_5군단_32사단_NA_사단장"
104,장성길,55,"1992.  4군단 부군단장",1992,NULL,1,NULL,"인민군 총참모부",4군단,NA,NA,NA,부군단장,2,2,"인민군 총참모부_4군단_NA_NA_부군단장"
104,장성길,56,"1996.12  820전차군단 정치위원",1996,12,1,NULL,"인민군 총참모부",X기계화군단,820전차군단,NA,NA,정치위원,3,3,"인민군 총참모부_X기계화군단_820전차군단_NA_정치위원"
105,원응희,60,"1990. 공군사령부 정치위원",1990,NULL,1,NULL,"인민군 총참모부",공군사령부,NA,NA,NA,정치위원,2,3,"인민군 총참모부_공군사령부_NA_NA_정치위원"
114,김철만,117,"1948. 7 인민군 대좌, 제10사단 25연대장",1948,7,1,Joint,"인민군 총참모부",7군단,10사단,25연대,NA,연대장,4,1,"인민군 총참모부_7군단_10사단_25연대_연대장"
114,김철만,118,"1955. 4 인민군 소장, 제37사단장",1955,4,1,Joint,"인민군 총참모부",X군단,37사단,NA,NA,사단장,3,1,"인민군 총참모부_X군단_37사단_NA_사단장"
114,김철만,122,"1965. 1 인민군 2군단장",1965,1,1,NULL,"인민군 총참모부",2군단,NA,NA,NA,군단장,2,1,"인민군 총참모부_2군단_NA_NA_군단장"
114,김철만,124,"1968. 2 인민군 상장, 인민군 부총참모장",1968,2,1,Joint,"인민군 총참모부",NA,NA,NA,NA,부총참모장,1,2,"인민군 총참모부_NA_NA_NA_부총참모장"
114,김철만,126,"1970. 7 인민군 제1부총참모장",1970,7,1,NULL,"인민군 총참모부",NA,NA,NA,NA,제1부총참모장,1,2,"인민군 총참모부_NA_NA_NA_제1부총참모장"
132,김룡연,224,"1966. 3 제1집단군 정치위원(소장)",1966,3,1,NULL,"인민군 총참모부",1집군단사령부,NA,NA,NA,정치위원,2,3,"인민군 총참모부_1집군단사령부_NA_NA_정치위원"
132,김룡연,228,1977.10 평양방어사령관,1977,10,1,NULL,"인민군 총참모부",평양방어사령부,NA,NA,NA,사령관,2,1,"인민군 총참모부_평양방어사령부_NA_NA_사령관"
135,김기선,236,"1988. 인민군 1군단 정치위원",1988,NULL,1,NULL,"인민군 총참모부",1군단,NA,NA,NA,정치위원,2,3,"인민군 총참모부_1군단_NA_NA_정치위원"
149,최인덕,345,"1975. 7 1군단장",1975,7,1,NULL,"인민군 총참모부",1군단,NA,NA,NA,군단장,2,1,"인민군 총참모부_1군단_NA_NA_군단장"
159,오극렬,410,"1967.10 인민군 중장, 공군사령관",1967,10,1,Joint,"인민군 총참모부",공군사령부,NA,NA,NA,사령관,2,1,"인민군 총참모부_공군사령부_NA_NA_사령관"
159,오극렬,411,"1977.10 인민군 부총참모장",1977,10,1,NULL,"인민군 총참모부",NA,NA,NA,NA,부총참모장,1,2,"인민군 총참모부_NA_NA_NA_부총참모장"
159,오극렬,412,"1979. 9 당 정치국 후보위원 겸 인민군 총참모장",1979,9,1,Joint,"인민군 총참모부",NA,NA,NA,NA,총참모장,1,1,"인민군 총참모부_NA_NA_NA_총참모장"
172,장성우,457,"1994.10 3군단장",1994,10,1,NULL,"인민군 총참모부",3군단,NA,NA,NA,군단장,2,1,"인민군 총참모부_3군단_NA_NA_군단장"
175,최광,465,"1948. 2 인민군 제1사단장",1948,2,1,NULL,"인민군 총참모부",1군단,1사단,NA,NA,사단장,3,1,"인민군 총참모부_1군단_1사단_NA_사단장"
