102;장성택;1946.1.22 함북 청진시;NULL;1946;한반도;함북;청진시
103;윤기정;NULL;NULL;NULL;NULL;NULL;NULL
104;장성길;1939.1.13, 평양;820전차군단 정치위원, 인민군 중장;1939;한반도;평양;
105;원응희;1939년생(1936년說);보위사령관, 인민군 대장, 당 중앙위 위원;1939;NULL;NULL;
106;주규창;1928.11.25 함남 함주군;NULL;1928;한반도;함남;함주군
107;박관오;1929년생 자강도 성간군;NULL;1929;한반도;자강;성간군
110;림상종;NULL;NULL;NULL;NULL;NULL;NULL
112;김평일;1954.8.10 평양;NULL;1954;한반도;평양;
113;김춘근;1947년생;NULL;1947;NULL;NULL;
114;김철만;1918년생 만주;NULL;1918;만주;NULL;
115;김영남;1928.2.4 평양;NULL;1928;한반도;평양;
118;심상진;1944.11.5 양강도;NULL;1944;한반도;양강;
119;오수용;1944년생;NULL;1944;NULL;NULL;
121;김수열;1943.11.18;NULL;1943;NULL;NULL;
125;김성애;1924.12.29 평남;NULL;1924;한반도;평남;
128;김성규;NULL;NULL;NULL;NULL;NULL;NULL
131;김병률;1926년생 평안북도;NULL;1926;한반도;평북;
132;김룡연;1916.1.24 양강도 혜산;만경대혁명학원 원장, 인민군 차수, 당 중앙위 후보위원, 최고인민회의 제11기 대의원;1916;한반도;양강;혜산
135;김기선;1926년생 함경남도;NULL;1926;한반도;함남;
137;길재경;NULL;NULL;NULL;NULL;NULL;NULL
139;김국태;1924.8.27 함북 김책시;NULL;1924;한반도;함북;김책시
142;궁석웅;1941년생;NULL;1941;NULL;NULL;
145;김봉철;1941.5.2;NULL;1941;NULL;NULL;
146;강성산;NULL;NULL;NULL;NULL;NULL;NULL
147;최종건;1922년생;NULL;1922;NULL;NULL;
148;강영섭;1931.10.15 평양;조선그리스도교연맹 위원장, 조선종교인협의회 부회장, ?범민련? 북측본부 부의장, ?조국전선? 중앙위원회 위원, 최고인민회의 제12기 대의원 겸 상임위원회 위원, 평양신학원장;1931;한반도;평양;
149;최인덕;NULL;NULL;NULL;NULL;NULL;NULL
151;박경선;1942.9.29 함북 나진;NULL;1942;한반도;함북;나진
153;강동윤;NULL;NULL;NULL;NULL;NULL;NULL
154;허택;NULL;NULL;NULL;NULL;NULL;NULL
155;문재철;1946.3.24;NULL;1946;NULL;NULL;
156;강석숭;NULL;NULL;NULL;NULL;NULL;NULL
159;오극렬;1931년생 중국 지린;NULL;1931;중국;지린;
160;맹경일;1963.4.21;NULL;1963;NULL;NULL;
166;박길연;1943.1.26 자강도;NULL;1943;한반도;자강;
171;동정호;1956년생;NULL;1956;NULL;NULL;
172;장성우;NULL;NULL;NULL;NULL;NULL;NULL
175;최광;NULL;NULL;NULL;NULL;NULL;NULL
177;최기룡;NULL;NULL;NULL;NULL;NULL;NULL
179;최성익;1938.9.21;NULL;1938;NULL;NULL;
181;최승철;1956.10.3 함남;NULL;1956;한반도;함남;
191;유영선;1941년생 함남 정평군;NULL;1941;한반도;함남;정평군
192;류영섭;NULL;NULL;NULL;NULL;NULL;NULL
193;리광곤;NULL;NULL;NULL;NULL;NULL;NULL
194;이정부;NULL;NULL;NULL;NULL;NULL;NULL
197;림경만;1946.8.28;NULL;1946;NULL;NULL;
202;전희정;1930.3.5 강원;NULL;1930;한반도;강원;
203;황순희;1919.5.3 중국;NULL;1919;중국;NULL;
204;홍서헌;1945.12.31;NULL;1945;NULL;NULL;
208;오익제;1929.4.23 평남 성천군;NULL;1929;한반도;평남;성천군
211;림동옥;NULL;NULL;NULL;NULL;NULL;NULL
212;리태남;1938.3.26 평북 염주군;NULL;1938;한반도;평북;염주군
214;김창규;1941.3.16 양강도;NULL;1941;한반도;양강;
215;김창수;1940년생;NULL;1940;NULL;NULL;
218;홍성남;NULL;NULL;NULL;NULL;NULL;NULL
219;허혁필;1932.12.5;NULL;1932;NULL;NULL;
220;최춘황;NULL;NULL;NULL;NULL;NULL;NULL
221;오진우;NULL;NULL;NULL;NULL;NULL;NULL
223;백세봉;1938년생;NULL;1938;NULL;NULL;
231;김정일;1942.2.16 소련 하바로프스크;당 총비서, 국방위원회 위원장, 당 정치국 상무위원, 당 중앙군사위 위원장, 당 중앙위 위원, 인민군 최고사령관, 원수, 최고인민회의 제12기 대의원;1942;소련;하바로프스크;
233;김형식;1941.5.29;NULL;1941;NULL;NULL;
234;김형준;1949년생;NULL;1949;NULL;NULL;
235;한성룡;NULL;NULL;NULL;NULL;NULL;NULL
242;양형섭;1925.10.1 함남 함흥시;NULL;1925;한반도;함남;함흥시
245;리제강;NULL;NULL;NULL;NULL;NULL;NULL
246;김정숙;1930년생 평남 대동군;NULL;1930;한반도;평남;대동군
247;김정임;NULL;NULL;NULL;NULL;NULL;NULL
248;김일성;1912.4.15 평남 대동군 고평면 남리;국가주석, 대원수, 당 정치국 상무위원, 당 총비서, 당 중앙위원, 당 군사위원회 위원장, 최고인민회의 제9기 대의원, 중앙인민위 수위;1912;한반도;평남;대동군
249;한광복;1946.3.18;NULL;1946;NULL;NULL;
251;김상익;1943년생;NULL;1943;NULL;NULL;
252;김락희;1933.11.11 평남 개천시;NULL;1933;한반도;평남;개천시
256;송호경;NULL;NULL;NULL;NULL;NULL;NULL
258;리을설;1921년생 함북 청진시;NULL;1921;한반도;함북;청진시
262;김일철;1930년생 평양;NULL;1930;한반도;평양;
264;김일근;1955년생;NULL;1955;NULL;NULL;
265;김희영;NULL;NULL;NULL;NULL;NULL;NULL
266;배달준;1936년생;NULL;1936;NULL;NULL;
