LeaderID,CareerDateString,CareerString
강관주,2011.12,김정일 국가장의위원회 위원
강관주,2010.09,조선노동당 중앙위원회 후보위원
강관주,2010.04,김중린 국가장의위원회 위원
강관주,2009,내각 225부 부장
강관주,2008.10,박성철 국가장의위원회 위원
강관주,2003.09,최고인민회의 제 11기 대의원
강관주,1997.02,조선노동당 대외연락부(구 사회문화부) 부장
강관주,1995.02,오진우 국가장의위원회 위원
강관주,1994.07,김일성 국가장의위원회 위원
강관주,1993.01,조선노동당 통일전선부 부장
강관주,1992.04,&lt;김일성 훈장&gt; 수훈
강관주,1990.08,조국평화통일위원회 부위원장
강관주,1989.03,조선노동당 통일전선부 제1부부장
강관주,1988.03,조선노동당 중앙위원회 위원
강관주,1988,조선노동당 통일전선부 조선인총연합회 담당 부부장
강관주,1986,조선노동당 조직지도부 부부장
강관주,1975.05,대외문화연락협회 국장
강관주,1973,만경대예술단 섭외부 부부장
강관주,1973,당 문화부 과장
강관주,1961,체육과학연구소 연구원
강관주,연도미상,최고인민회의 제 10기 대의원
강관주,연도미상,보천보전자악단 고문
강관주,연도미상,최고인민회의 제 9기 대의원
강관주,연도미상,前 조국평화통일위원회 부위원장
강관주,연도미상,前 당 중앙위원회 후보위원
강능수,2015.07,사망(85세)
강능수,2014.04,내각 부총리 해임
강능수,2014.03,최고인민회의 제13기 대의원
강능수,2011.12,故 김정일 국가장의위원회 위원
강능수,2010.09,당 중앙위원회 위원
강능수,2010.08,국가영화위원회 위원장 해임 * 후임: 홍광순
강능수,2010.06,내각 부총리
강능수,2010.02,당 영화부장
강능수,2010.02,국가영화위원회 위원장
강능수,2010.01,문화상 해임 * 후임: 안동춘
강능수,2009.04,문화상(유임)
강능수,2009.03,최고인민회의 제12기 대의원
강능수,2008.04,최고인민회의 부의장 해임
강능수,2006.06,문화상(재임) * 전임: 김진성
강능수,2006.03,6.15공동선언실천 북측 위원회 부위원장
강능수,2004.02,김일성화·김정일화위원회 위원장
강능수,2003.09,문화상 해임 * 후임: 최익규
강능수,2003.09,최고인민회의 부의장
강능수,2003.08,최고인민회의 제11기 대의원
강능수,2000.08,조선공보위원회 위원장
강능수,1999.09,문화상
강능수,1989.04,4.15문학창작단 단장
강능수,연도미상,김일성종합대학 조선어문학부 졸업
강동윤,2018.08,故 김영춘 국가장의위원회 위원
강동윤,2015.11,故 리을설 국가장의위원회 위원
강동윤,2011.12,故 김정일 국가장의위원회 위원
강동윤,2010.09,당 대표자회 서기부
강동윤,2010.09,당 중앙위원회 위원
강동윤,2007.01,당 중앙위원회 부부장
강동윤,2000.02,"‘공화국영웅’ 칭호, 금별메달 및 국기훈장1급 수훈"
강동윤,1998.09,최고인민회의 제10기 대의원
강동윤,1996.10,425기계화군단장
강동윤,1995.02,故 오진우 국가장의위원회 위원
강동윤,1994.07,故 김일성 국가장의위원회 위원
강동윤,1994.06,108기계화군단장
강동윤,1992.04,군 상장
강동윤,1991.12,당 중앙위원회 위원
강동윤,1990.04,최고인민회의 제9기 대의원
강련학,2016.10,사망
강련학,2014.03,최고인민회의 제13기 대의원
강련학,2009.03,최고인민회의 제12기 대의원
강련학,2004.12,6.15공동선언실천 북측 위원회 부위원장
강련학,2003.08,최고인민회의 제11기 대의원
강련학,2001.06,민족화해협의회 부회장
강련학,1998.09,최고인민회의 제10기 대의원
강련학,1998.07,조국통일민주주의전선 공동의장
강련학,1971,"당 연락부 부부장, 평양출판사 사장"
강명철,2019.04,최고인민회의 상임위원회 위원
강명철,2019.03,최고인민회의 제14기 대의원
강명철,2016.09,조선그리스도교연맹 중앙위원회 위원장
강명철,2014.04,최고인민회의 상임위원회 위원
강명철,2014.03,최고인민회의 제13기 대의원
강명철,2013.07,조선그리스도교연맹 평양시 위원장
강명철,2013.07,조선그리스도교연맹 위원장
강민철,2014.01,채취공업상 해임 * 후임: 리학철
강민철,2011.12,김정일 국가장의위원회 위원
강민철,2010.09,조선노동당 중앙위원회 후보위원
강민철,2009.04,최고인민회의 제 12기 대의원
강민철,2005.11 ~ 2014.01,채취공업성 상 *전임 : 이광남  *후임: 리학철
강민철,2001.01,함경북도 무산광산연합기업소 당 책임비서
