LeaderID,EducationDateString,EducationSchoolString,EducationMajorString,EducationGraduationStatus
강관주,1960,김일성종합대학,,졸업
강관주,연도미상,김일성 고급당학교,,졸업
강능수,연도미상,김일성종합대학,조선어문학,졸업
강민철,연도미상,김책공업종합대학,,졸업
강석숭,연도미상,김일성종합대학,,미상
강석숭,연도미상,모스크바대학교,,미상
강석주,연도미상,평양외국어대학,영어,미상
강석주,연도미상,국제관계대학,불어,미상
강성산,연도미상,김일성종합대학,,미상
강성산,연도미상,만경대혁명학원,,미상
강성산,연도미상,체코 프라하공대,,미상
강영섭,연도미상,레닌그라드대,,미상
강영호,연도미상,김일성종합대학,,졸업
강지영,연도미상,김책공업종합대학,,졸업
계응태,연도미상,남만주대학,,미상
계응태,연도미상,소련고급당학교,,미상
곽범기,연도미상,희천공업대학,,졸업
구본태,연도미상,인민경제대학,,졸업
구본태,연도미상,김일성종합대학,,기타
궁석웅,연도미상,평양국제관계대학,,졸업
권혁봉,연도미상,김일성종합대학,철학부,미상
권호웅,연도미상,김일성종합대학,,졸업
권희경,연도미상,김일성종합대학,,미상
김격식,연도미상,강건군관학교,,졸업
김경호a,연도미상,국제관계대학,,미상
김경희,연도미상,김일성종합대학,,미상
김경희,연도미상,모스크바대학교,,미상
김계관,연도미상,평양외국어대학,,미상
김계관,연도미상,국제관계대학,,미상
김국태,연도미상,고급당학교,,졸업
김기남,연도미상,김일성종합대학,,미상
김기남,연도미상,모스크바국제대학,,미상
김기남,연도미상,만경대혁명학원,,미상
김기룡,연도미상,김일성종합대학,,졸업
김락희,연도미상,인민경제대학,,졸업
김락희,연도미상,개천여자중학교,,미상
김령성,연도미상,김일성종합대학,조선어문학,미상
김류호,연도미상,함흥화학공업대학,,미상
김명국,연도미상,김일성군사종합대학교,,졸업
김명길a,연도미상,김일성종합대학,,미상
김병률,연도미상,만경대혁명학원,,미상
김병팔,연도미상,소련 도네프로페드롭스크 야금대학,,미상
김병팔,연도미상,만경대혁명학원,,미상
김병훈,연도미상,평양사범대학,,미상
김봉철,연도미상,김일성종합대학,,미상
김성기,연도미상,천진남개대,,미상
김성애,연도미상,평양여자사범대,,미상
김시학,연도미상,김일성종합대학,,미상
김시학,연도미상,체코프라하공대,,미상
김양건,연도미상,김일성종합대학,불어과,미상
김양점,연도미상,김일성군사종합대학교,,미상
김여정,연도미상,김일성종합대학,특설반,졸업
김영남,연도미상,김일성종합대학,,미상
김영남,1953,모스크바대학교,외교학,미상
김영대,연도미상,김일성종합대학,,기타
김영숙,연도미상,인민경제대학,,미상
김영일a,연도미상,국제관계대학,,미상
김영일b,연도미상,나진해운대학,,미상
김영재,연도미상,김일성종합대학,영어과,미상
김영주,연도미상,모스크바대학교,정경학부,미상
김영주,연도미상,모스크바고급당학교,연구반,미상
김영철a,연도미상,만경대혁명학원,,졸업
김영철a,연도미상,김일성군사종합대학교,,졸업
김영춘,연도미상,김일성군사종합대학교,,졸업
김영춘,연도미상,만경대혁명학원,,미상
김영춘,연도미상,소련 푸른제 군사대학,,미상
김완수a,연도미상,김일성종합대학,,미상
