LeaderID,Name,NameAlternative,CurrentPositionString,Sex,BirthDateString,BirthPlaceString,DeathReported,DeathString
강관주,강관주,,,남성,1930년 07월 05일,평안남도 대동군,,연도미상
강능수,강능수,,(사망) 당 중앙위원회 위원,남성,1930년 02월 21일,평양시,(사망),2015년 07월 01일
강동윤,강동윤,,당 중앙위원회 부부장,남성,연도미상,,,연도미상
강련학,강련학,강연학,(사망) 민족화해협의회 부회장,남성,연도미상,,(사망),2016년 10월 01일
강명철,강명철,,조선그리스도교연맹 중앙위원회 위원장,남성,연도미상,,,연도미상
강민철,강민철,,,남성,1948년,,,연도미상
강봉훈,강봉훈,,자강도 당위원회 책임비서,남성,연도미상,,,연도미상
강석숭,강석숭,,(사망) 당 역사연구소 소장,남성,1932년 09월 18일,평안남도 평원군,(사망),2001년 05월
강석주,강석주,,(사망) 당 정치국 위원,남성,1939년 08월 29일,평안남도 평원군,(사망),2016년 05월 20일
강성산,강성산,,(사망) 당 중앙위원회 위원,남성,1931년 03월 03일,함경북도 경성군,(사망),2007년
강수린,강수린,,조선불교도연맹 위원장,남성,1952년 03월 11일,,,연도미상
강순남,강순남,,당 중앙위원회 부장,남성,연도미상,,,연도미상
강양모,강양모,,최고인민회의 제14기 대의원,남성,1944년 09월 01일,함경남도,,연도미상
강영섭,강영섭,,(사망) 조선그리스도교연맹 중앙위원회 위원장,남성,1931년 10월 15일,평양시,(사망),2012년 01월 21일
강영수,강영수,,당 중앙위원회 후보위원,남성,1966년 12월 07일,자강도,,연도미상
강영철,강영철,,,남성,1957년,,,연도미상
강영호,강영호,,,남성,1948년,,,연도미상
강윤석,강윤석,,최고인민회의 상임위원회 부위원장,남성,연도미상,,,연도미상
강종관,강종관,,육해운성 상,남성,1959년,,,연도미상
강지영,강지영,,조선종교인협의회 회장,남성,1956년,,,연도미상
강창욱,강창욱,,"6.15공동선언실천을위한북,남해외공동행사북측준비위원회 부위원장",남성,연도미상,,,연도미상
강표영,강표영,,인민무력성 부상,남성,1950년,,,연도미상
강하국,강하국,,,남성,1952년 04월 25일,,,연도미상
강형봉,강형봉,,평안남도 인민위원회 위원장,남성,1957년 05월 20일,,,연도미상
계명철,계명철,,평안북도 농촌경리위원회 위원장,미상,연도미상,,,연도미상
계영삼,계영삼,,,남성,연도미상,평안북도 정주시,,연도미상
계응태,계응태,,(사망) 당 비서국 비서,남성,1925년 02월 25일,평안남도 평원군,(사망),2016년 11월 23일
고길선,고길선,,최고인민회의 상임위원회 서기장,남성,연도미상,,,연도미상
고인호,고인호,,농업성 상,남성,연도미상,,,연도미상
고정범,고정범,,재정성 상,남성,연도미상,,,연도미상
고종덕,고종덕,,,남성,1936년,,,연도미상
고철만,고철만,,,미상,연도미상,,,연도미상
곽범기,곽범기,,,남성,1939년 11월 20일,함경남도,,연도미상
곽창식,곽창식,,호위사령부 사령관,남성,연도미상,,,연도미상
구본태,구본태,,대외경제성 부상,남성,1946년 02월 07일,북한지역외 일본,,연도미상
궁석웅,궁석웅,,,남성,1944년 08월 22일,평안남도,,연도미상
권성호,권성호,,최고인민회의 제14기 대의원,남성,연도미상,,,연도미상
권영진,권영진,,인민군 총정치국 국장,남성,연도미상,,,연도미상
권춘학,권춘학,,,남성,연도미상,,,연도미상
권혁봉,권혁봉,,당 선전선동부 부부장,남성,1944년,,,연도미상
권호웅,권호웅,,,남성,1959년,,,연도미상
권희경,권희경,,(사망) 대외부 부장,남성,1928년 02월 19일,자강도 강계시,(사망),연도미상
기광호,기광호,,최고인민회의 제14기 대의원,미상,1957년 01월 01일,,,연도미상
김격식,김격식,,(사망) 국방위원회 위원,남성,1938년 03월 11일,함경남도 정평군,(사망),2015년 05월 10일
김경남,김경남,,,남성,연도미상,,,연도미상
김경옥,김경옥,,당 중앙위원회 위원,남성,연도미상,,,연도미상
김경준,김경준,,국토환경보호성 상,남성,1964년 08월 09일,,,연도미상
김경호a,김경호,,조선태권도위원회 국제태권도연맹 부총재,남성,1958년 12월 11일,강원도,,연도미상
김경호b,김경호,,,남성,연도미상,,,연도미상
김경희,김경희,,,여성,1946년 05월 30일,평양시,,연도미상
김계관,김계관,,외무성 고문,남성,1943년 01월 06일,평안북도 운산군,,연도미상
김광린,김광린,,,남성,1949년 12월 13일,,,연도미상
김광영,김광영,,,남성,연도미상,,,연도미상
김광철a,김광철,,,남성,연도미상,,,연도미상
김광철b,김광철,,당 중앙검사위원회 위원,남성,연도미상,,,연도미상
김광혁,김광혁,,인민군 대장,남성,연도미상,,,연도미상
김국태,김국태,,(사망),남성,1924년 08월 27일,함경북도 김책시,(사망),2013년 12월 13일
김금철a,김금철,,,남성,연도미상,,,연도미상
김금철b,김금철,,내각 사무장,남성,연도미상,,,연도미상
김기남,김기남,,당 중앙위원회 고문,남성,1929년 08월 28일,함경남도 금야군,,연도미상
김기룡,김기룡,김기용,(사망),남성,1940년 03월 28일,량강도 혜산시,(사망),연도미상
김능오,김능오,,최고인민회의 제14기 대의원,남성,연도미상,,,연도미상
김덕훈,김덕훈,,국무위원회 부위원장,남성,1961년 월 일,,,연도미상
김동선,김동선,,,남성,연도미상,,,연도미상
김두일,김두일,,최고인민회의 제14기 대의원,남성,연도미상,,,연도미상
김락겸,김락겸,,인민군 대장,남성,연도미상,,,연도미상
김락희,김락희,,(사망),여성,1933년 11월 11일,평안남도 개천시,(사망),2013년 02월
김령성,김령성,,조국통일범민족연합북측본부 부의장,남성,1945년,함경남도,,연도미상
김류호,김류호,김유호,,남성,1940년 12월 01일,,,연도미상
김만성,김만성,,최고인민회의 제14기 대의원,남성,연도미상,,,연도미상
김만수,김만수,,당 중앙위원회 위원,남성,1956년 09월 14일,함경북도,,연도미상
김명국,김명국,,(사망),남성,1940년,,(사망),연도미상
김명길a,김명길,,외무성 대사,남성,1959년 03월 14일,자강도 만포시,,연도미상
김명길b,김명길,,,남성,연도미상,,,연도미상
김명남,김명남,,제91수도방어군 군단장,남성,연도미상,,,연도미상
김명식,김명식,,해군사령부 사령관,남성,연도미상,,,연도미상
김명철,김명철,,,남성,연도미상,,,연도미상
김명훈,김명훈,,,남성,연도미상,,,연도미상
김병률,김병률,,(사망) 중앙재판소 소장,남성,1930년,북한지역외 중국,(사망),2013년 11월 05일
김병팔,김병팔,,,남성,1934년 08월 08일,함경북도,,연도미상
김병호,김병호,,당 중앙위원회 위원,남성,1960년 01월 01일,평양시,,연도미상
김병훈,김병훈,,(사망) 당 중앙위원회 후보위원,남성,1929년 11월 14일,함경북도,(사망),2013년 08월
김봉영,김봉영,,,남성,연도미상,,,연도미상
김봉철,김봉철,,,남성,1941년 05월 02일,함경남도,,연도미상
김석준,김석준,,,남성,1961년 01월 01일,평양시,,연도미상
김성,김성,김성,주유엔대표부 상임대표,미상,1959년,,,연도미상
김성규,김성규,,(사망) 당 중앙위원회 부장,남성,1933년,,(사망),2010년 08월 24일
김성기,김성기,,,남성,1957년 08월 19일,량강도,,연도미상
김성남,김성남,,국무위원회 위원,남성,1953년,평안북도,,연도미상
김성룡,김성룡,,최고인민회의 외교위원회 위원,미상,연도미상,,,연도미상
김성애,김성애,,(사망) 조선사회주의여성동맹 중앙위원회 위원장,여성,1924년 12월 29일,평안남도,(사망),연도미상
김성일,김성일,,당 중앙위원회 위원,남성,연도미상,,,연도미상
김성준,김성준,,국토환경보호성 상,남성,연도미상,,,연도미상
김성혜,김성혜,,당 통일전선부 실장,여성,1965년 07월 17일,평안남도,,연도미상
김성호,김성호,,최고인민회의 외교위원회 위원,미상,연도미상,,,연도미상
김세복,김세복,,당 중앙위원회 부장,미상,연도미상,,,연도미상
김송철,김송철,,,남성,연도미상,,,연도미상
김수길,김수길,,강원도 당위원회 책임비서,남성,1950년 01월 01일,,,연도미상
김수열,김수열,,,남성,1943년 11월 18일,,,연도미상
김승두,김승두,,교육위원회 위원장,남성,1958년 03월 01일,함경남도,,연도미상
김승찬,김승찬,,고등교육성 상,남성,연도미상,,,연도미상
김시학,김시학,,,남성,1932년 08월 22일,평양시,,연도미상
김양건,김양건,,(사망) 당 정치국 위원,남성,1942년 04월 24일,평안남도 안주시,(사망),2015년 12월 29일
김양점,김양점,,,남성,1944년,,,연도미상
김여정,김여정,김여정,국무위원회 위원,여성,1988년,평양시,,연도미상
김영남,김영남,,,남성,1928년 02월 04일,평양시,,연도미상
김영녀,김영녀,,,미상,연도미상,,,연도미상
김영대,김영대,,최고인민회의 제14기 대의원,남성,1937년 12월 12일,함경남도,,연도미상
김영숙,김영숙,,,여성,1942년 08월 28일,평안남도,,연도미상
김영식,김영식,,함경남도 인민위원회 위원장,남성,연도미상,,,연도미상
김영일a,김영일,,조선.일본우호친선협회 고문,남성,1947년 03월 17일,평안북도 정주시,,연도미상
김영일b,김영일,,,남성,1944년 05월 02일,함경남도,,연도미상
김영재,김영재,,최고인민회의 제14기 대의원,남성,1952년 09월 07일,강원도,,연도미상
김영주,김영주,,,남성,1920년,평안남도 대동군,,연도미상
김영철a,김영철,,당 통일전선부 부장,남성,1946년,량강도,,연도미상
김영철b,김영철,,황해남도 인민위원회 위원장,남성,연도미상,,,연도미상
김영춘,김영춘,,(사망) 당 중앙위원회 위원,남성,1936년 03월 04일,량강도 보천군,(사망),연도미상
김영호,김영호,,최고인민회의 제14기 대의원,남성,1952년,함경북도,,연도미상
김영환,김영환,,평양직할시 당위원회 책임비서,남성,연도미상,,,연도미상
김영훈a,김영훈,,,미상,연도미상,,,연도미상
김영훈b,김영훈,,,미상,연도미상,,,연도미상
김완수a,김완수,,최고인민회의 제14기 대의원,남성,1941년 01월 01일,함경북도,,연도미상
김용걸,김용걸,,,미상,연도미상,,,연도미상
김용광,김용광,,,남성,연도미상,,,연도미상
김용선,김용선,,,미상,연도미상,,,연도미상
김용수,김용수,,당 중앙위원회 부장,남성,연도미상,,,연도미상
김용순,김용순,,(사망) 당 비서국 비서,남성,1934년 07월 05일,평안남도 평원군,(사망),2003년 10월 26일
