LeaderID,FamilyMemberRelationship,FamilyMemberName,FamilyMemberSex,FamilyMemberBirthString,FamilyMemberCurrentOrganization,FamilyMemberCurrentPosition,FamilyMemberDeathReported,FamilyString_2015
강관주,매,강관숙,여성,연도미상,,,,딸: 강정옥
강관주,매,강관숙,여성,연도미상,,,,"여동생: 강관숙(前 중앙도서관 관장, 김달현의 처)"
강관주,자,강정옥,여성,1963,,,,딸: 강정옥
강관주,자,강정옥,여성,1963,,,,"여동생: 강관숙(前 중앙도서관 관장, 김달현의 처)"
강관주,사위,손영훈,남성,1960,,,,딸: 강정옥
강관주,사위,손영훈,남성,1960,,,,"여동생: 강관숙(前 중앙도서관 관장, 김달현의 처)"
강석숭,제,강석주,남성,1939.08.29,당 정치국,위원,,동생: 강석주(외무성 제1부상)
강석주,형,강석숭,남성,1932.09.18,당 역사연구소,소장,사망,"형: 강석숭(前 당 역사연구소 소장, 사망)"
강석주,제,강석룡,남성,연도미상,,,,"형: 강석숭(前 당 역사연구소 소장, 사망)"
강석주,제,강석목,남성,연도미상,,,,"형: 강석숭(前 당 역사연구소 소장, 사망)"
강석주,사위,주동일,남성,1947,,,,"형: 강석숭(前 당 역사연구소 소장, 사망)"
강석주,자,강태성,남성,연도미상,,,,"형: 강석숭(前 당 역사연구소 소장, 사망)"
강성산,처,이정애,여성,연도미상,,,,
강성산,매,강정숙,여성,연도미상,,,,
강성산,제,강석구,남성,연도미상,,,,
강성산,매,강영숙,여성,연도미상,,,,
강영섭,부,강양욱,남성,연도미상,,,사망,"부(父): 강양욱(前 국가부주석, 김일성의 외종숙, 사망)"
강영섭,처,김진오,여성,연도미상,,,,"부(父): 강양욱(前 국가부주석, 김일성의 외종숙, 사망)"
강영섭,자,강명철,남성,연도미상,,,,"부(父): 강양욱(前 국가부주석, 김일성의 외종숙, 사망)"
강영섭,자,강명일,남성,연도미상,,,,"부(父): 강양욱(前 국가부주석, 김일성의 외종숙, 사망)"
강영섭,자,강명순,여성,연도미상,,,,"부(父): 강양욱(前 국가부주석, 김일성의 외종숙, 사망)"
강영섭,자,강명애,여성,연도미상,,,,"부(父): 강양욱(前 국가부주석, 김일성의 외종숙, 사망)"
계응태,자,계영숙,여성,연도미상,,,,
계응태,자,계영화,여성,연도미상,,,,
계응태,자,계학원,남성,연도미상,,,,
계응태,자,계학진,남성,연도미상,,,,
계응태,자,계학선,남성,연도미상,,,,
권희경,자,권일,남성,연도미상,,,,
김격식,사촌동생,김대식,남성,연도미상,,,,
김경희,오빠,김정일,남성,1942.02.16,조선노동당,총비서,사망,남편: 장성택(국방위원회 부위원장 겸 당 중앙위 부장)
김경희,오빠,김정일,남성,1942.02.16,조선노동당,총비서,사망,"오빠: 김정일(前 당 총비서, ’11.12월 사망)"
김경희,남편,장성택,남성,1946.01.22,국무위원회,부위원장,사망,남편: 장성택(국방위원회 부위원장 겸 당 중앙위 부장)
김경희,남편,장성택,남성,1946.01.22,국무위원회,부위원장,사망,"오빠: 김정일(前 당 총비서, ’11.12월 사망)"
김경희,자,장금송,여성,연도미상,,,사망,남편: 장성택(국방위원회 부위원장 겸 당 중앙위 부장)
김경희,자,장금송,여성,연도미상,,,사망,"오빠: 김정일(前 당 총비서, ’11.12월 사망)"
김경희,부,김일성,남성,1912.04.15,,,사망,남편: 장성택(국방위원회 부위원장 겸 당 중앙위 부장)
김경희,부,김일성,남성,1912.04.15,,,사망,"오빠: 김정일(前 당 총비서, ’11.12월 사망)"
김경희,이복남매,김평일,남성,1954.08.10,,,,남편: 장성택(국방위원회 부위원장 겸 당 중앙위 부장)
김경희,이복남매,김평일,남성,1954.08.10,,,,"오빠: 김정일(前 당 총비서, ’11.12월 사망)"
김계관,장인,정일룡,남성,연도미상,,,사망,"장인 : 정일룡(前 내각 부수상, 사망)"
김국태,부,김책,남성,연도미상,,,사망,"부(父): 김책(前 내각 부수상, 사망)"
김국태,자,김광일,남성,연도미상,,,,"부(父): 김책(前 내각 부수상, 사망)"
김국태,자,김문경,여성,연도미상,,,,"부(父): 김책(前 내각 부수상, 사망)"
김국태,사위,이홍식,남성,연도미상,,,,"부(父): 김책(前 내각 부수상, 사망)"
김기남,자,김정익,여성,연도미상,,,,
김기남,자,김정희,여성,연도미상,,,,
김성애,남편,김일성,남성,1912.04.15,국가,주석,사망,"남편: 김일성(前 국가주석, 사망)"
김성애,남편,김일성,남성,1912.04.15,국가,주석,사망,"자녀: 김평일(54년생, 폴란드 대사), 김영일(사망), 김경진(52년생)"
김성애,자,김평일,남성,1954.08.10,,,,"남편: 김일성(前 국가주석, 사망)"
김성애,자,김평일,남성,1954.08.10,,,,"자녀: 김평일(54년생, 폴란드 대사), 김영일(사망), 김경진(52년생)"
김성애,자,김경진,여성,1952,,,,"남편: 김일성(前 국가주석, 사망)"
김성애,자,김경진,여성,1952,,,,"자녀: 김평일(54년생, 폴란드 대사), 김영일(사망), 김경진(52년생)"
김성애,자,김영일,남성,연도미상,,,사망,"남편: 김일성(前 국가주석, 사망)"
김성애,자,김영일,남성,연도미상,,,사망,"자녀: 김평일(54년생, 폴란드 대사), 김영일(사망), 김경진(52년생)"
김여정,부,김정일,남성,1942.02.16,조선노동당,총비서,사망,
김여정,모,고영희,여성,1952.06.26,,,사망,
김여정,오빠,김정철,남성,1981.09.25,,,,
김여정,오빠,김정은,남성,1984.01.08,조선노동당,총비서,,
김영남,동생,김두남,남성,연도미상,,,사망,"동생: 김두남(前 인민무력부 부부장 겸 인민군 대장, 사망)"
김영일a,장인,전문섭,남성,1919.11.24,,,사망,"장인 : 전문섭(前 국가검열위원장, 사망)"
김영주,형,김일성,남성,1912.04.15,국가,주석,사망,"형: 김일성(前 국가주석, 사망)"
김영주,사위,리명산,남성,연도미상,,,,"형: 김일성(前 국가주석, 사망)"
김영춘,사위,리성호,남성,1963.06.21,,,,
김용순,자,김성,남성,1963,,,,
김용순,자,김란,여성,1971,,,,
김원홍,자,김철,남성,연도미상,,,,
김윤혁a,사위,홍기호,남성,연도미상,,,,
김익현,자,김성진,남성,연도미상,,,,
김익현,자,김정애,여성,1958,,,,
김일,자,박용석,남성,1928,당 검열위원회,위원장,사망,
김일성,사촌동생,김정숙,여성,1930,조선대외문화연락위원회,위원장,,"김성애(1924～  )-경진(1952년생), 평일(1954년생),"
김일성,사촌동생,김정숙,여성,1930,조선대외문화연락위원회,위원장,,"영일(1955년생, ‘00 사망)"
김일성,사촌동생,김정숙,여성,1930,조선대외문화연락위원회,위원장,,"처: 김정숙(1917～49)-정일(1942년생), 경희(1946년생)"
김일성,자,김정일,남성,1942.02.16,조선노동당,총비서,사망,"김성애(1924～  )-경진(1952년생), 평일(1954년생),"
김일성,자,김정일,남성,1942.02.16,조선노동당,총비서,사망,"영일(1955년생, ‘00 사망)"
김일성,자,김정일,남성,1942.02.16,조선노동당,총비서,사망,"처: 김정숙(1917～49)-정일(1942년생), 경희(1946년생)"
김일성,자,김경희,여성,1946.05.30,,,,"김성애(1924～  )-경진(1952년생), 평일(1954년생),"
김일성,자,김경희,여성,1946.05.30,,,,"영일(1955년생, ‘00 사망)"
김일성,자,김경희,여성,1946.05.30,,,,"처: 김정숙(1917～49)-정일(1942년생), 경희(1946년생)"
김일성,처,김성애,여성,1924.12.29,조선사회주의여성동맹,중앙위원회 위원장,사망,"김성애(1924～  )-경진(1952년생), 평일(1954년생),"
김일성,처,김성애,여성,1924.12.29,조선사회주의여성동맹,중앙위원회 위원장,사망,"영일(1955년생, ‘00 사망)"
김일성,처,김성애,여성,1924.12.29,조선사회주의여성동맹,중앙위원회 위원장,사망,"처: 김정숙(1917～49)-정일(1942년생), 경희(1946년생)"
김일성,자,김경진,여성,1952,,,,"김성애(1924～  )-경진(1952년생), 평일(1954년생),"
김일성,자,김경진,여성,1952,,,,"영일(1955년생, ‘00 사망)"
김일성,자,김경진,여성,1952,,,,"처: 김정숙(1917～49)-정일(1942년생), 경희(1946년생)"
김일성,자,김평일,남성,1954.08.10,,,,"김성애(1924～  )-경진(1952년생), 평일(1954년생),"
