LeaderID,Name,Sex,BirthYear,BirthCountry,BirthCP,BirthBCC,DeathReported,MOUID_2015,KoreanName_2015,Name_2022,NameAlternative_2022,BirthString_2015,BirthDateString_2022,BirthPlaceString_2022,DeathString_2015,DeathString_2022
강관주,강관주,남성,1930.0,한반도,평남,대동군,,807.0,강관주,강관주,,1930.7.5 평남 대동군,1930년 07월 05일,평안남도 대동군,,연도미상
강능수,강능수,남성,1930.0,한반도,평양,,(사망),430.0,강능수,강능수,,1930.2.21 평양,1930년 02월 21일,평양시,,2015년 07월 01일
강동윤,강동윤,남성,,,,,,153.0,강동윤,강동윤,,,연도미상,,,연도미상
강련학,강련학,남성,1932.0,,,,(사망),542.0,강련학,강련학,강연학,1932년생,연도미상,,,2016년 10월 01일
강명철,강명철,남성,,,,,,,,강명철,,,연도미상,,,연도미상
강민철,강민철,남성,,,,,,288.0,강민철,강민철,,,1948년,,,연도미상
강봉훈,강봉훈,남성,,,,,,,,강봉훈,,,연도미상,,,연도미상
강석숭,강석숭,남성,,,,,(사망),156.0,강석숭,강석숭,,,1932년 09월 18일,평안남도 평원군,,2001년 05월
강석주,강석주,남성,1939.0,한반도,평남,평원군,(사망),394.0,강석주,강석주,,1939.8.29 평남 평원군,1939년 08월 29일,평안남도 평원군,,2016년 05월 20일
강성산,강성산,남성,,,,,(사망),146.0,강성산,강성산,,,1931년 03월 03일,함경북도 경성군,,2007년
강수린,강수린,남성,,,,,,,,강수린,,,1952년 03월 11일,,,연도미상
강순남,강순남,남성,,,,,,,,강순남,,,연도미상,,,연도미상
강양모,강양모,남성,,,,,,643.0,강양모,강양모,,,1944년 09월 01일,함경남도,,연도미상
강영섭,강영섭,남성,1931.0,한반도,평양,,(사망),148.0,강영섭,강영섭,,1931.10.15 평양,1931년 10월 15일,평양시,"조선그리스도교연맹 위원장, 조선종교인협의회 부회장, ?범민련? 북측본부 부의장, ?조국전선? 중앙위원회 위원, 최고인민회의 제12기 대의원 겸 상임위원회 위원, 평양신학원장",2012년 01월 21일
강영수,강영수,남성,,,,,,,,강영수,,,1966년 12월 07일,자강도,,연도미상
강영철,강영철,남성,,,,,,,,강영철,,,1957년,,,연도미상
강영호,강영호,남성,1948.0,,,,,541.0,강영호,강영호,,1948년생,1948년,,,연도미상
강윤석,강윤석,남성,,,,,,,,강윤석,,,연도미상,,,연도미상
강종관,강종관,남성,,,,,,781.0,강종관,강종관,,,1959년,,,연도미상
강지영,강지영,남성,1956.0,,,,,782.0,강지영,강지영,,1956년생,1956년,,,연도미상
강창욱,강창욱,남성,,,,,,412.0,강창욱,강창욱,,,연도미상,,,연도미상
강표영,강표영,남성,,,,,,,,강표영,,,1950년,,,연도미상
강하국,강하국,남성,,,,,,,,강하국,,,1952년 04월 25일,,,연도미상
강형봉,강형봉,남성,,,,,,,,강형봉,,,1957년 05월 20일,,,연도미상
계명철,계명철,미상,,,,,,,,계명철,,,연도미상,,,연도미상
계영삼,계영삼,남성,,,,,,362.0,계영삼,계영삼,,,연도미상,평안북도 정주시,,연도미상
계응태,계응태,남성,,,,,(사망),416.0,계응태,계응태,,,1925년 02월 25일,평안남도 평원군,,2016년 11월 23일
고길선,고길선,남성,,,,,,,,고길선,,,연도미상,,,연도미상
고인호,고인호,남성,,,,,,,,고인호,,,연도미상,,,연도미상
고정범,고정범,남성,,,,,,,,고정범,,,연도미상,,,연도미상
고종덕,고종덕,남성,,,,,,644.0,고종덕,고종덕,,,1936년,,,연도미상
고철만,고철만,미상,,,,,,,,고철만,,,연도미상,,,연도미상
곽범기,곽범기,남성,1939.0,,,,,365.0,곽범기,곽범기,,1939년생,1939년 11월 20일,함경남도,,연도미상
곽창식,곽창식,남성,,,,,,,,곽창식,,,연도미상,,,연도미상
구본태,구본태,남성,1946.0,일본,,,,645.0,구본태,구본태,,1946.2.7 일본,1946년 02월 07일,북한지역외 일본,,연도미상
궁석웅,궁석웅,남성,1941.0,,,,,142.0,궁석웅,궁석웅,,1941년생,1944년 08월 22일,평안남도,,연도미상
권성호,권성호,남성,,,,,,,,권성호,,,연도미상,,,연도미상
권영진,권영진,남성,,,,,,,,권영진,,,연도미상,,,연도미상
권춘학,권춘학,남성,,,,,,646.0,권춘학,권춘학,,,연도미상,,,연도미상
권혁봉,권혁봉,남성,1944.0,,,,,783.0,권혁봉,권혁봉,,1944년생,1944년,,,연도미상
권호웅,권호웅,남성,1959.0,,,,,647.0,권호웅,권호웅,,1959년생,1959년,,,연도미상
권희경,권희경,남성,1928.0,한반도,자강,강계시,(사망),426.0,권희경,권희경,,1928.2.19 자강도 강계,1928년 02월 19일,자강도 강계시,당 대외정보조사부 부장,연도미상
기광호,기광호,미상,,,,,,,,기광호,,,1957년 01월 01일,,,연도미상
김격식,김격식,남성,1940.0,,,,(사망),427.0,김격식,김격식,,1940년생,1938년 03월 11일,함경남도 정평군,,2015년 05월 10일
김경남,김경남,남성,,,,,,,,김경남,,,연도미상,,,연도미상
김경옥,김경옥,남성,,,,,,495.0,김경옥,김경옥,,,연도미상,,,연도미상
김경준,김경준,남성,,,,,,,,김경준,,,1964년 08월 09일,,,연도미상
김경호a,김경호,남성,1958.0,,,,,648.0,김경호,김경호,,1958.12.11,1958년 12월 11일,강원도,,연도미상
김경호b,김경호,남성,,,,,,649.0,김경호,김경호,,,연도미상,,,연도미상
김경희,김경희,여성,1946.0,한반도,평양,,,423.0,김경희,김경희,,1946.5.30 평양,1946년 05월 30일,평양시,,연도미상
김계관,김계관,남성,1943.0,한반도,평북,운산군,,409.0,김계관,김계관,,1943.1.6 평북 운산군,1943년 01월 06일,평안북도 운산군,,연도미상
김광린,김광린,남성,1949.0,,,,,650.0,김광린,김광린,,1949.12.13,1949년 12월 13일,,,연도미상
김광영,김광영,남성,,,,,,428.0,김광영,김광영,,,연도미상,,,연도미상
김광철a,김광철,남성,,,,,,,,김광철,,,연도미상,,,연도미상
김광철b,김광철,남성,,,,,,,,김광철,,,연도미상,,,연도미상
김광혁,김광혁,남성,,,,,,,,김광혁,,,연도미상,,,연도미상
