Org1,Org2
국방위원회,
내각,교육성
내각,교통위
내각,국방성
내각,사무국
내각,외교부
내각,재정부
내각,조선중앙통신사
내각,철도부
내각,체신성
내각,
노동당,간부부장  
노동당,경기협회
노동당,경제정책검열부
노동당,경제정책검열부장
노동당,계획재정부
노동당,공산청년동맹
노동당,국제기자동맹
노동당,국제연대협의회
노동당,국제태권도연맹
노동당,군수공업부
노동당,기계공업협회
노동당,기자동맹
노동당,김일성고급당학교
노동당,김일성사회주의청년동맹
노동당,남북경협제도실무협의회
노동당,단군민족통일협의회
노동당,대외문화연락협회
노동당,대외연락부
노동당,대외정보조사부
노동당,도서관협회
노동당,맑스레닌주의 연구소
노동당,문화부
노동당,민족화해협의회
노동당,민주법률가협회
노동당,민주해방동맹소속
노동당,북-유럽동맹
노동당,북조선분국
노동당,불교도연맹
노동당,선전선동부
노동당,여성동맹
노동당,연도미상 민족화해협의회
노동당,연도미상 조선기자동맹
노동당,연도미상조선종교인협의회
노동당,연락부
노동당,영화부
노동당,음악가동맹
노동당,정치국
노동당,조사부장
노동당,조선건축가동맹
노동당,조선과학기술총연맹
노동당,조선권투협회
노동당,조선그리스도교연맹
노동당,조선기독교연맹
노동당,조선기자동맹
노동당,조선농업근로자동맹
노동당,조선도시연맹
노동당,조선마라톤협회
노동당,조선무술연맹
노동당,조선문학예술총동맹
노동당,조선민주법률가협회
노동당,조선민주여성동맹
노동당,조선반핵평화협의회
노동당,조선불교도연맹
노동당,조선빙상하키협회
노동당,조선빙상휘거협회
노동당,조선사회과학자협회
노동당,조선소프트볼협회
노동당,조선예술교류협회
노동당,조선옷협회
노동당,조선외교협회
노동당,조선요리협회
노동당,조선음악가동맹
노동당,조선의학협회
노동당,조선자연보호연맹
노동당,조선작가동맹
노동당,조선장애자보호연맹
노동당,조선적십자회
노동당,조선종교인협의회
노동당,조선종교인협회
노동당,조선직업총동맹
노동당,조선천도교회
노동당,조선천주교인협회
노동당,조선청소년태권도협회
노동당,조선축구협회
노동당,조선카톨릭교협회
노동당,조선카톨릭협회
노동당,조선탁구협회
노동당,조선태권도협회
노동당,조선피겨협회
노동당,조선피복가공기술협회
노동당,조직지도부
노동당,족문학인협회
노동당,중공업부
노동당,중앙당학교
노동당,중앙위
노동당,중앙위원회
노동당,중앙인민위원회
노동당,청년
노동당,청년동맹
노동당,청년동맹위
노동당,청소년사업부
노동당,체육기술연맹
노동당,총무부
노동당,축구협회
노동당,
최고인민회의,상설회의
최고인민회의,외교분과위원회
최고인민회의,외교위
최고인민회의,중앙선거위원회
최고인민회의,
,강원도 인민위원회
,개성시 인민위원회
,공보위원회
,교육위원회
,교통위원회
,국가계획위원회
,국가과학기술위원회
,국방성
,국토환경보호성
,군사정전위
,금속공업부
,금속기계공업성
,노동행정부
,농업위원회
내각,무역성
내각,문화성
,사회안전부
,사회안전성
내각,산업성
내각,상업성
,수도건설위원회
,식료일용공업성
,양강도 인민위원회
내각,외무성
,외무성
,육해운부
,육해운성
,인민군
,전기석탄공업성
,전력공업성
,전자자동화공업위원회
,제1기계공업부
,조국평화통일위원회
,조선태권도위원회
,중앙방송위원회
,채취공업위원회
,철도성
,체육부
,총정치국
,평양시 건설지도국
,평양시 인민위원회
,함경남도 당위원회
,함경북도 인민위원회
,해군사령부
,황해남도 인민위원회
,황해북도 인민위원회
,
