LeaderID,EducationDateString_2022,EducationSchoolString_2022,EducationMajorString_2022,EducationGraduationStatus_2022,MOUID_2015,Name_2015,EducationString_2015,SchoolYear_2015,SchoolName_2015,SchoolLevel_2015,SchoolRegion_2015,SchoolStringConcat_2015
강관주,1960,김일성종합대학,,졸업,807,강관주,1960. 김일성종합대학 역사학부 졸업,1960,김일성종합대학교,대학교,북한,1960_김일성종합대학교_대학교_북한
강관주,1960,김일성종합대학,,졸업,807,강관주,연도미상김일성고급당학교 졸업,,김일성고급당학교,특수학교,북한,year_김일성고급당학교_특수학교_북한
강관주,연도미상,김일성 고급당학교,,졸업,807,강관주,1960. 김일성종합대학 역사학부 졸업,1960,김일성종합대학교,대학교,북한,1960_김일성종합대학교_대학교_북한
강관주,연도미상,김일성 고급당학교,,졸업,807,강관주,연도미상김일성고급당학교 졸업,,김일성고급당학교,특수학교,북한,year_김일성고급당학교_특수학교_북한
강능수,연도미상,김일성종합대학,조선어문학,졸업,430,강능수,연도미상김일성종합대학 조선어문학부 졸업,,김일성종합대학교,대학교,북한,year_김일성종합대학교_대학교_북한
강민철,연도미상,김책공업종합대학,,졸업,288,강민철,연도미상 김책공업종합대학 졸업,,김책공업종합대학,대학교,북한,year_김책공업종합대학_대학교_북한
강석숭,연도미상,김일성종합대학,,미상,156,강석숭,"연도미상 김일성종합대학, 소련 모스크바종합대학",,김일성종합대학교,대학교,북한,year_김일성종합대학교_대학교_북한
강석숭,연도미상,김일성종합대학,,미상,156,강석숭,"연도미상 김일성종합대학, 소련 모스크바종합대학",,모스크바종합대학교,대학교,러시아,year_모스크바종합대학교_대학교_러시아
강석숭,연도미상,모스크바대학교,,미상,156,강석숭,"연도미상 김일성종합대학, 소련 모스크바종합대학",,김일성종합대학교,대학교,북한,year_김일성종합대학교_대학교_북한
강석숭,연도미상,모스크바대학교,,미상,156,강석숭,"연도미상 김일성종합대학, 소련 모스크바종합대학",,모스크바종합대학교,대학교,러시아,year_모스크바종합대학교_대학교_러시아
강석주,연도미상,평양외국어대학,영어,미상,394,강석주,"연도미상평양외국어대학(영어), 국제관계대학(불어) 졸업",,국제관계대학교,대학교,북한,year_국제관계대학교_대학교_북한
강석주,연도미상,평양외국어대학,영어,미상,394,강석주,"연도미상평양외국어대학(영어), 국제관계대학(불어) 졸업",,평양외국어대학교,대학교,북한,year_평양외국어대학교_대학교_북한
