,Assignment,Completed,name,성명(한글),소속/직책,성별,생년월일,출생지,사망여부,사망일자
47,Zhandos,x,김경호,,조선태권도위원회 국제태권도연맹 부총재,남성,1958년 12월 11일,강원도,,연도미상
48,Zhandos,x,김경호,,,남성,연도미상,,,연도미상
53,Zhandos,x,김광철,,,남성,연도미상,,,연도미상
54,Zhandos,x,김광철,,당 중앙검사위원회 위원,남성,연도미상,,,연도미상
57,Zhandos,x,김금철,,,남성,연도미상,,,연도미상
58,Zhandos,x,김금철,,내각 사무장,남성,연도미상,,,연도미상
72,Zhandos,x,김명길,,외무성 대사,남성,1959년 03월 14일,자강도 만포시,,연도미상
73,Zhandos,x,김명길,,,남성,연도미상,,,연도미상
110,Zhandos,x,김영일,,조선.일본우호친선협회 고문,남성,1947년 03월 17일,평안북도 정주시,,연도미상
111,Zhandos,x,김영일,,,남성,1944년 05월 02일,함경남도,,연도미상
114,Zhandos,x,김영철,,당 통일전선부 부장,남성,1946년,량강도,,연도미상
115,Zhandos,x,김영철,,황해남도 인민위원회 위원장,남성,연도미상,,,연도미상
119,Zhandos,x,김영훈,,,미상,연도미상,,,연도미상
120,Zhandos,x,김영훈,,,미상,연도미상,,,연도미상
136,Zhandos,x,김윤혁,,(사망),남성,1926년,평안남도 양덕군,(사망),2006년 04월
137,Zhandos,x,김윤혁,,철도성 부상,남성,1957년,,,연도미상
144,Zhandos,x,김일철,,,남성,1930년,평양시,,연도미상
145,Zhandos,x,김일철,,,남성,연도미상,,,연도미상
193,Zhandos,x,김형식,,,남성,연도미상,,,연도미상
194,Zhandos,x,김형식,,법무부 부장,남성,연도미상,,,연도미상
245,Dilbar,x,리성국,,(사망),남성,연도미상,,(사망),연도미상
246,Dilbar,x,리성국,,양강도 인민위원회 위원장,남성,연도미상,,,연도미상
260,Dilbar,x,리용철,이용철,(사망),남성,1929년 03월 24일,,(사망),2010년 04월
261,Dilbar,x,리용철,이용철,최고인민회의 제12기 대의원,남성,1967년,평양시 보통강구역,,연도미상
329,Dilbar,x,박명철,,조국통일민주주의전선 의장,남성,1941년 09월 15일,평양시,,연도미상
330,Dilbar,x,박명철,,민족경제협력위원회 부위원장,남성,연도미상,,,연도미상
332,Dilbar,x,박성철,,(사망) 최고인민회의 상임위원회 명예부위원장,남성,1913년 09월 02일,북한지역외 남한 경북 경주,(사망),2009년 10월 29일
333,Dilbar,x,박성철,,당 중앙위원회 위원,남성,연도미상,,,연도미상
551,Jacob,,최영호,,인민군 상장,남성,연도미상,,,연도미상
552,Jacob,,최영호,최영호,최고인민회의 제14기 대의원,남성,연도미상,,,연도미상
